source,class,distance(kpc),l(deg),b(deg),period(s),pdot(1e-11s/s),pdot_start,pdot_end,Bp(e14G),Edot(e33erg/s),tau_c(kyr),tau_real(kyr),num_outbursts,NH(e22cm-2),quiescence_ob_date(MJD),satellite_qui,obsID_qui,abs_flux_qui(e-12erg/s/cm-2),abs_flux_qui_limit(e-12erg/s/cm-2),unabs_flux_qui(e-12erg/s/cm-2),unabs_flux_qui_limit(e-12erg/s/cm-2),luminosity_X_qui(e33erg/s),luminosity_X_qui_limit(e33erg/s),luminosity_bol_qui(e33erg/s),luminosity_bol_qui_limit(e33erg/s),peak1_obs_date(MJD),satellite_peak1,obsID_peak1,abs_flux_peak1(e-12erg/s/cm-2),unabs_flux_peak1(e-12erg/s/cm-2),luminosity_X_peak1(e33erg/s),peak2_obs_date(MJD),satellite_peak2,obsID_peak2,abs_flux_peak2(e-12erg/s/cm-2),unabs_flux_peak2(e-12erg/s/cm-2),luminosity_X_peak2(e33erg/s),Out1_energy(e40erg),Out2_energy(e40erg),Out1_num_exp,Out2_num_exp,Out1_tau1_tot(days),Out1_tau2_tot(days),Out1_tau3_tot(days),Out2_tau1_tot(days),Out2_tau2_tot(days),Out2_tau3_tot(days)
SGR0526-66,magnetar,49.7,276.09,-33.25,8.05,3.8,52152,54414,11.0,2.9,3.40,5.0,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,,,,
CXOUJ185238.6+0040,cco,7.1,33.667347,0.038728,0.105,0.00000087,53296,55041,0.00061,0.32,190000,6.3,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
1E1207.4-5209,cco,2.1,296.545164,9.916088,0.424,0.0000022,51549,56262,0.00196,0.012,302000,7,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
RXJ0822.0-4300,cco,2.2,260.572541,-3.495317,0.112,0.00000093,55182,56027,0.00058,0.19,254000,3.5,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
1E161348-5055,cco,3.3,332.428951,-0.373763,24030,,,,,,,2,2,2.05,51447,Chandra-ACIS-I,0123,0.98,,2.15,,2.8,,3,,51582,Chandra-ACIS-S,970,65,266,347,57561,Swift-XRT,00030389032,140,190,250,1000,260,2,2,110,856,,0.5,507,
PSRJ0538+2817,rpp,1.3,179.718198,-1.685636,0.143,0.00037,,,0.015,50.12,620,40,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,
PSRB1055-52,rpp,1.13,285.984341,6.649336,0.197,0.00058,,,0.022,31.62,540,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,
PSRJ0633+1746,rpp,0.25,195.133837,4.265811,0.237,0.0011,,,0.033,31.62,340,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,
PSRB1706-44,rpp,2.6,343.098214,-2.685113,0.102,0.0093,51520,51956,0.062,3162.28,17,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,
PSRB0833-45,rpp,0.28,263.551962,-2.787257,0.089,0.012,,,0.068,6309.56,11,8.9,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,
PSRB0656+14,rpp,0.28,201.107660,8.258282,0.385,0.0055,,,0.093,39.81,110,79.4,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,
PSRB2334+61,rpp,3.1,114.283890,0.233355,0.495,0.019,,,0.2,63.10,41,10,,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,,,,,,,,
PSRJ1740+1000,rpp,1.4,34.010520,20.268413,0.154,0.21,,,0.37,25118.95,1.2,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,
PSRJ0726-2612,high B pulsar,1.0,240.079247,-4.644334,3.44,0.03,,,0.64,0.25,190,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,
PSRJ1119-6127,high B pulsar,8.4,292.151295,-0.536942,0.407,0.4,50850,55364,0.82,2511.9,1.60,5.6,1,0.69,53309,Chandra-ACIS-S,4676,0.048,,0.067,,0.57,,0.58,,57597,Swift-XRT,706396000,41,44,372,,,,,,,85,,3,,0.25,18,73,,,
PSRJ1846-0258,high B pulsar,6.0,29.711946,-0.240114,0.33,0.71,,,0.98,8100,0.73,,1,4,51832,Chandra-ACIS-S,748,3.2,,3.6,,15.5,,20,,53894,RXTE,92012-01-14-00,12,90,390,,,,,,,45,,1,,56,,,,,
PSRJ1819-1458,high B pulsar,3.6,16.019002,0.080346,4.263,0.057,51031,54938,1.0,0.32,120,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,
PSRJ1718-3718,high B pulsar,4.5,349.848963,0.215121,3.378,0.16,51383,55649,1.5,1.58,33,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,
RXJ0420.0-5022,xdins,0.34,258.134978,-44.385597,3.45,0.002759,52638,55662,0.2,0.025,2000,,,,,,,,,,,,,0.009,,,,,,,,,,,,,,,,,,,,,,,
RXJ1856.5-3754,xdins,0.12,358.599611,-17.213110,7.055,0.003,52194,54377,0.29,0.003,3800,400,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,
RXJ2143.0+0654,xdins,0.43,62.657328,-33.139952,9.428,0.0041,54234,54605,0.4,0.002,3600,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,
RXJ0720.4-3125,xdins,0.29,244.158050,-8.164527,8.391,0.006983,49257,53394,0.48,0.0047,1900,800,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,
RXJ0806.4-4123,xdins,0.25,257.426088,-4.984389,11.37,0.0055,54598,54932,0.51,0.0016,3300,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,
RXJ1308.6+2127,xdins,0.50,338.745669,83.081296,10.31,0.011,51720,53581,0.68,0.004,1500,1000,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,
RXJ1605.3+3249,xdins,0.35,52.875945,47.990468,3.39,0.16,,,1.5,1.58,34.00,500,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,
