(Time, ID): (11.050000000000, 25aspa) | (M, Li): (0.1763014768E+01, -0.239678191207349E+02) | Ra/Lat: (31.35857964, -14.23410308) F
(Time, ID): (11.050000000000, 4bahr) | (M, Li): (0.2392438833E+01, -0.332801307886839E+02) | Ra/Lat: (252.68915703, 26.05695925) T
(Time, ID): (11.050000000000, 7bahr) | (M, Li): (0.1005573279E+01, -0.118115142099559E+02) | Ra/Lat: (252.68915703, 26.05695925) T
(Time, ID): (11.050000000000, 8bahr) | (M, Li): (0.1336283209E+01, -0.138118069432676E+02) | Ra/Lat: (252.68915703, 26.05695925) T
(Time, ID): (11.050000000000, 26bahr) | (M, Li): (0.1327563314E+01, -0.132637804970145E+02) | Ra/Lat: (252.68915703, 26.05695925) T
(Time, ID): (11.050000000000, 27bahr) | (M, Li): (0.2116723010E+01, -0.258617226481438E+02) | Ra/Lat: (252.68915703, 26.05695925) T
(Time, ID): (11.050000000000, 28bahr) | (M, Li): (0.1319409712E+01, -0.107702181972563E+02) | Ra/Lat: (252.68915703, 26.05695925) T
(Time, ID): (11.050000000000, 29bahr) | (M, Li): (0.1184776650E+01, -0.133126235082746E+02) | Ra/Lat: (252.68915703, 26.05695925) T
(Time, ID): (11.050000000000, 1bako) | (M, Li): (0.2162703265E+01, -0.885789660736918E+01) | Ra/Lat: (308.92992224, -6.44796906) F
(Time, ID): (11.050000000000, 4bako) | (M, Li): (0.1494298168E+01, -0.199876131713390E+02) | Ra/Lat: (308.92992224, -6.44796906) F
(Time, ID): (11.050000000000, 7bako) | (M, Li): (0.2162912134E+01, -0.179095570556819E+02) | Ra/Lat: (308.92992224, -6.44796906) F
(Time, ID): (11.050000000000, 8bako) | (M, Li): (0.1242465986E+01, -0.298873834833503E+02) | Ra/Lat: (308.92992224, -6.44796906) F
(Time, ID): (11.050000000000, 11bako) | (M, Li): (0.1940005849E+01, -0.139396252408624E+02) | Ra/Lat: (308.92992224, -6.44796906) F
(Time, ID): (11.050000000000, 13bako) | (M, Li): (0.1657729350E+01, -0.271343247480690E+02) | Ra/Lat: (308.92992224, -6.44796906) F
(Time, ID): (11.050000000000, 20bako) | (M, Li): (0.1545083280E+01, -0.104464938752353E+02) | Ra/Lat: (308.92992224, -6.44796906) F
(Time, ID): (11.050000000000, 27bako) | (M, Li): (0.1011137053E+01, -0.331317231468856E+02) | Ra/Lat: (308.92992224, -6.44796906) F
(Time, ID): (11.050000000000, 28bako) | (M, Li): (0.2525511707E+01, -0.128946878351271E+02) | Ra/Lat: (308.92992224, -6.44796906) F
(Time, ID): (11.050000000000, 11bay2) | (M, Li): (0.1513130198E+01, -0.464404088631272E+01) | Ra/Lat: (39.37426778, 55.00983265) F
(Time, ID): (11.050000000000, 14bay2) | (M, Li): (0.1540727265E+01, -0.215988782793283E+01) | Ra/Lat: (39.37426778, 55.00983265) F
(Time, ID): (11.050000000000, 15bay2) | (M, Li): (0.1761300506E+01, -0.972727121785283E+01) | Ra/Lat: (39.37426778, 55.00983265) F
(Time, ID): (11.050000000000, 18bay2) | (M, Li): (0.2187899030E+01, -0.546954675391316E+01) | Ra/Lat: (39.37426778, 55.00983265) F
(Time, ID): (11.050000000000, 28bay2) | (M, Li): (0.2203395575E+01, -0.766155528277159E+01) | Ra/Lat: (39.37426778, 55.00983265) F
(Time, ID): (11.050000000000, 8bili) | (M, Li): (0.2632755954E+01, -0.526878963783383E+01) | Ra/Lat: (8.51897436, 67.94251578) F
(Time, ID): (11.050000000000, 9bili) | (M, Li): (0.2490481519E+01, -0.597282762452960E+01) | Ra/Lat: (8.51897436, 67.94251578) F
(Time, ID): (11.050000000000, 11bili) | (M, Li): (0.1265981601E+01, -0.643676365166903E+01) | Ra/Lat: (8.51897436, 67.94251578) F
(Time, ID): (11.050000000000, 14bili) | (M, Li): (0.2307266754E+01, -0.383865393325686E+01) | Ra/Lat: (8.51897436, 67.94251578) F
(Time, ID): (11.050000000000, 15bili) | (M, Li): (0.2367492183E+01, -0.530485145002604E+01) | Ra/Lat: (8.51897436, 67.94251578) F
(Time, ID): (11.050000000000, 18bili) | (M, Li): (0.2269218681E+01, -0.419165557995439E+01) | Ra/Lat: (8.51897436, 67.94251578) F
(Time, ID): (11.050000000000, 28bili) | (M, Li): (0.1455212253E+01, -0.809177382290363E+01) | Ra/Lat: (8.51897436, 67.94251578) F
(Time, ID): (11.050000000000, 7bjfs) | (M, Li): (0.1840309852E+01, -0.128594158664346E+02) | Ra/Lat: (317.97349651, 39.41969700) F
(Time, ID): (11.050000000000, 8bjfs) | (M, Li): (0.1278986907E+01, -0.189134734012187E+02) | Ra/Lat: (317.97349651, 39.41969700) F
(Time, ID): (11.050000000000, 11bjfs) | (M, Li): (0.1051794471E+01, -0.224911055415869E+02) | Ra/Lat: (317.97349651, 39.41969700) F
(Time, ID): (11.050000000000, 20bjfs) | (M, Li): (0.2221460633E+01, -0.887144930288196E+01) | Ra/Lat: (317.97349651, 39.41969700) F
(Time, ID): (11.050000000000, 27bjfs) | (M, Li): (0.1689821585E+01, -0.190344783887267E+02) | Ra/Lat: (317.97349651, 39.41969700) F
(Time, ID): (11.050000000000, 28bjfs) | (M, Li): (0.1225309737E+01, -0.154310120791197E+02) | Ra/Lat: (317.97349651, 39.41969700) F
(Time, ID): (11.050000000000, 7bor1) | (M, Li): (0.1439815860E+01, -0.709727224707603E+01) | Ra/Lat: (219.15446757, 52.09055401) T
(Time, ID): (11.050000000000, 9bor1) | (M, Li): (0.1348268543E+01, -0.532204372063279E+01) | Ra/Lat: (219.15446757, 52.09055401) T
(Time, ID): (11.050000000000, 18bor1) | (M, Li): (0.1790202717E+01, -0.525163625925779E+01) | Ra/Lat: (219.15446757, 52.09055401) F
(Time, ID): (11.050000000000, 26bor1) | (M, Li): (0.1072289377E+01, -0.405893172696233E+01) | Ra/Lat: (219.15446757, 52.09055401) T
(Time, ID): (11.050000000000, 28bor1) | (M, Li): (0.1323318000E+01, -0.468041154369712E+01) | Ra/Lat: (219.15446757, 52.09055401) T
(Time, ID): (11.050000000000, 29bor1) | (M, Li): (0.1221452667E+01, -0.438628955557942E+01) | Ra/Lat: (219.15446757, 52.09055401) T
(Time, ID): (11.050000000000, 6braz) | (M, Li): (0.1496315542E+01, -0.127425284385681E+02) | Ra/Lat: (154.20314315, -15.84611208) T
(Time, ID): (11.050000000000, 17braz) | (M, Li): (0.1228269152E+01, -0.110769291855395E+02) | Ra/Lat: (154.20314315, -15.84611208) T
(Time, ID): (11.050000000000, 21braz) | (M, Li): (0.1243148803E+01, -0.927480620518327E+01) | Ra/Lat: (154.20314315, -15.84611208) T
(Time, ID): (11.050000000000, 30braz) | (M, Li): (0.1058169162E+01, -0.880850946158171E+01) | Ra/Lat: (154.20314315, -15.84611208) T
(Time, ID): (11.050000000000, 6bue1) | (M, Li): (0.1105204610E+01, -0.776746859028935E+01) | Ra/Lat: (143.56171264, -34.39409826) T
(Time, ID): (11.050000000000, 10bue1) | (M, Li): (0.1770166863E+01, -0.114185808449984E+02) | Ra/Lat: (143.56171264, -34.39409826) T
(Time, ID): (11.050000000000, 17bue1) | (M, Li): (0.1103346467E+01, -0.835395753756166E+01) | Ra/Lat: (143.56171264, -34.39409826) T
(Time, ID): (11.050000000000, 21bue1) | (M, Li): (0.1334606510E+01, -0.749950052797794E+01) | Ra/Lat: (143.56171264, -34.39409826) T
(Time, ID): (11.050000000000, 24bue1) | (M, Li): (0.2327058406E+01, -0.153596594668925E+02) | Ra/Lat: (143.56171264, -34.39409826) T
