  0   -1.0000   857130817783070720.00
  1   10.5167    26587299261186048.00
  2   10.5500    20561941181235200.00
  3   10.5833    28229089164787712.00
  4   10.6167    24575987551305728.00
  5   10.6500    24493311578341376.00
  6   10.6833    21544449309933568.00
  7   10.7167    22317904200466432.00
  8   10.7500    22299090096226304.00
  9   10.5000   141412262077267968.00
 10   10.5333     7506262803611648.00
 11   10.5667    12539525314117632.00
 12   10.6000     6461120629964800.00
 13   10.6333     3357588267728896.00
 14   10.6667     8051217380933632.00
 15   10.7000     8965791475040256.00
 16   10.7333    14165661135667200.00
 17   10.7667     9801146507984896.00
 18   10.8250    11445916045148160.00
 19   10.8583    10928078280720384.00
 20   10.9750    28825657974718464.00
